I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
-0.003,-0.152,-0.15,0.078,0.074,-0.151,0.068,0.067,0.089,-0.047,-0.19,-0.103
-0.039,-0.057,-0.018,0.048,-0.01,-0.037,0.061,0.044,0.103,0.059,-0.068,-0.06
-0.054,-0.095,-0.041,0.075,-0.006,-0.068,0.094,0.126,0.186,0.081,-0.096,-0.087
-0.072,-0.094,-0.022,0.083,-0.025,-0.058,0.078,0.105,0.149,0.085,-0.082,-0.077
-0.071,-0.114,-0.042,0.093,-0.015,-0.078,0.101,0.134,0.184,0.106,-0.083,-0.089
-0.05,-0.068,-0.018,0.059,-0.016,-0.043,0.112,0.157,0.208,0.12,-0.09,-0.09
-0.091,-0.104,-0.013,0.098,-0.039,-0.059,0.126,0.169,0.229,0.15,-0.078,-0.096
-0.093,-0.098,-0.004,0.096,-0.044,-0.051,0.144,0.18,0.252,0.144,-0.092,-0.106
-0.048,-0.04,0.008,0.044,-0.028,-0.016,0.146,0.175,0.276,0.152,-0.079,-0.108
-0.067,-0.061,0.006,0.064,-0.037,-0.027,0.162,0.178,0.288,0.15,-0.112,-0.108
-0.078,-0.08,-0.002,0.079,-0.038,-0.041,0.158,0.181,0.286,0.147,-0.155,-0.129
-0.105,-0.071,0.035,0.088,-0.07,-0.018,0.201,0.25,0.368,0.16,-0.171,-0.148
-0.132,-0.045,0.087,0.088,-0.11,0.021,0.287,0.301,0.428,0.17,-0.183,-0.157
-0.113,-0.03,0.083,0.071,-0.098,0.026,0.293,0.358,0.489,0.175,-0.213,-0.182
-0.12,-0.034,0.086,0.076,-0.103,0.026,0.262,0.414,0.554,0.192,-0.242,-0.195
-0.138,-0.054,0.085,0.096,-0.111,0.015,0.255,0.411,0.554,0.183,-0.276,-0.211
-0.147,-0.061,0.085,0.104,-0.116,0.012,0.246,0.407,0.557,0.205,-0.26,-0.195
-0.132,-0.048,0.084,0.089,-0.107,0.018,0.244,0.37,0.513,0.221,-0.194,-0.156
-0.116,-0.036,0.081,0.076,-0.098,0.022,0.204,0.314,0.437,0.2,-0.132,-0.115
-0.074,-0.005,0.069,0.04,-0.072,0.032,0.149,0.255,0.36,0.189,-0.07,-0.077
-0.037,0.004,0.042,0.016,-0.04,0.023,0.104,0.185,0.27,0.168,-0.023,-0.043
-0.028,-0.001,0.027,0.014,-0.028,0.013,0.063,0.135,0.204,0.143,-0.005,0.001
-0.027,-0.012,0.015,0.019,-0.021,0.001,0.047,0.1,0.144,0.112,0.001,0.022
-0.014,-0.008,0.006,0.011,-0.01,-0.001,0.033,0.082,0.116,0.084,0.006,0.025
0.012,0.015,0.003,-0.014,0.005,0.009,0.026,0.077,0.1,0.071,0.016,0.033
-0.021,-0.022,-0.001,0.021,-0.01,-0.011,0.023,0.068,0.076,0.064,0.026,0.033
-0.009,-0.013,-0.004,0.011,-0.002,-0.009,0.021,0.067,0.071,0.058,0.022,0.026
0.017,0.008,-0.009,-0.012,0.013,-0.001,0.017,0.06,0.061,0.057,0.012,0.021
0.0,-0.008,-0.009,0.004,0.005,-0.008,0.015,0.056,0.055,0.061,0.01,0.015
-0.017,-0.022,-0.005,0.02,-0.005,-0.013,0.013,0.054,0.048,0.062,-0.002,0.009
-0.032,-0.031,0.001,0.031,-0.016,-0.015,0.001,0.04,0.039,0.065,-0.003,0.011
-0.016,-0.016,0.0,0.016,-0.008,-0.008,0.013,0.083,0.079,0.07,0.011,0.008
-0.019,-0.009,0.01,0.014,-0.014,0.0,0.03,0.088,0.083,0.079,0.036,0.015
0.015,0.021,0.006,-0.018,0.004,0.013,0.038,0.092,0.088,0.097,0.049,0.031
0.029,0.052,0.024,-0.041,0.002,0.038,0.037,0.089,0.082,0.101,0.051,0.036
-0.01,0.04,0.05,-0.016,-0.03,0.045,0.092,0.086,0.095,0.13,0.07,0.035
0.026,0.069,0.043,-0.047,-0.009,0.055,0.091,0.121,0.136,0.114,0.054,0.04
0.038,0.08,0.042,-0.059,-0.002,0.061,0.008,0.107,0.151,0.152,0.089,0.063
0.028,0.048,0.02,-0.038,0.004,0.033,0.021,0.121,0.131,0.092,0.041,0.054
0.025,0.049,0.024,-0.037,0.0,0.036,0.012,0.098,0.127,0.177,0.119,0.069
0.014,0.036,0.023,-0.025,-0.005,0.029,0.06,0.157,0.165,0.396,0.296,0.094
0.129,0.308,0.179,-0.219,-0.026,0.244,-0.428,-0.824,-1.101,0.296,1.165,0.573
0.534,0.417,-0.117,-0.475,0.325,0.15,-1.252,-1.916,-2.492,-0.247,1.923,1.24
0.739,0.21,-0.529,-0.474,0.634,-0.159,-1.343,-1.702,-2.484,-1.847,0.283,0.944
0.277,0.12,-0.157,-0.198,0.216,-0.018,-0.964,-1.487,-2.023,-2.243,-0.999,0.264
-0.04,-0.129,-0.089,0.085,0.024,-0.109,-0.307,-0.664,-0.765,-0.784,-0.514,-0.066
-0.027,-0.144,-0.117,0.086,0.045,-0.13,0.061,0.057,0.074,-0.058,-0.202,-0.11
-0.062,-0.042,0.02,0.052,-0.041,-0.01,0.043,0.032,0.088,0.057,-0.08,-0.06
-0.042,-0.056,-0.015,0.049,-0.013,-0.035,0.086,0.119,0.188,0.087,-0.082,-0.093
-0.058,-0.028,0.03,0.043,-0.044,0.001,0.083,0.086,0.167,0.088,-0.075,-0.089
-0.084,-0.077,0.007,0.08,-0.045,-0.035,0.101,0.129,0.196,0.121,-0.071,-0.105
-0.073,-0.07,0.003,0.071,-0.038,-0.033,0.107,0.147,0.214,0.105,-0.081,-0.107
-0.063,-0.063,0.0,0.063,-0.032,-0.031,0.129,0.153,0.248,0.126,-0.068,-0.101
-0.073,-0.063,0.01,0.068,-0.041,-0.026,0.136,0.18,0.269,0.136,-0.081,-0.11
-0.08,-0.048,0.032,0.064,-0.055,-0.008,0.132,0.166,0.274,0.142,-0.086,-0.113
-0.101,-0.057,0.044,0.079,-0.072,-0.006,0.157,0.183,0.301,0.135,-0.123,-0.136
-0.105,-0.05,0.055,0.077,-0.08,0.003,0.152,0.201,0.305,0.133,-0.151,-0.155
-0.092,-0.035,0.058,0.063,-0.075,0.011,0.194,0.266,0.365,0.131,-0.169,-0.165
-0.135,-0.034,0.101,0.084,-0.118,0.033,0.279,0.325,0.426,0.129,-0.186,-0.176
-0.133,-0.011,0.122,0.072,-0.127,0.055,0.269,0.374,0.487,0.142,-0.222,-0.202
-0.101,0.018,0.119,0.042,-0.111,0.068,0.239,0.404,0.541,0.159,-0.269,-0.23
-0.126,-0.006,0.121,0.066,-0.123,0.057,0.255,0.39,0.54,0.161,-0.284,-0.233
-0.154,-0.039,0.116,0.096,-0.135,0.038,0.256,0.388,0.532,0.165,-0.261,-0.227
-0.129,-0.014,0.115,0.071,-0.122,0.051,0.248,0.377,0.488,0.164,-0.22,-0.207
-0.101,0.014,0.115,0.043,-0.108,0.064,0.209,0.32,0.416,0.156,-0.146,-0.153
-0.112,-0.002,0.11,0.057,-0.111,0.053,0.16,0.248,0.338,0.15,-0.076,-0.095
-0.074,0.025,0.099,0.024,-0.086,0.062,0.109,0.188,0.264,0.142,-0.029,-0.052
-0.017,0.053,0.07,-0.019,-0.044,0.061,0.057,0.134,0.208,0.137,0.0,-0.032
-0.018,0.033,0.052,-0.008,-0.035,0.042,0.04,0.093,0.139,0.113,0.008,-0.029
-0.021,0.024,0.045,-0.002,-0.033,0.034,0.031,0.07,0.093,0.081,0.019,-0.026
-0.028,0.007,0.035,0.01,-0.032,0.02,0.02,0.065,0.076,0.057,0.024,-0.023
-0.049,-0.022,0.028,0.035,-0.039,0.003,0.018,0.066,0.074,0.044,0.021,-0.02
-0.06,-0.038,0.022,0.049,-0.041,-0.008,0.023,0.064,0.077,0.046,0.016,-0.018
-0.036,-0.017,0.019,0.027,-0.027,0.001,0.024,0.066,0.073,0.04,0.014,-0.015
-0.021,-0.007,0.014,0.013,-0.017,0.003,0.019,0.062,0.076,0.041,0.008,-0.007
-0.035,-0.026,0.009,0.031,-0.022,-0.008,0.031,0.073,0.079,0.045,0.021,-0.006
-0.015,-0.02,-0.005,0.018,-0.005,-0.012,0.042,0.093,0.086,0.06,0.054,0.002
0.018,0.005,-0.013,-0.011,0.015,-0.004,0.039,0.099,0.106,0.081,0.047,0.003
0.022,0.027,0.005,-0.024,0.008,0.016,0.04,0.089,0.094,0.095,0.06,-0.013
0.011,0.009,-0.002,-0.01,0.006,0.004,0.04,0.105,0.102,0.087,0.053,-0.018
-0.01,0.017,0.027,-0.004,-0.019,0.022,0.06,0.112,0.127,0.115,0.063,0.007
-0.034,0.015,0.05,0.009,-0.042,0.032,0.118,0.138,0.167,0.141,0.061,0.011
0.027,0.08,0.053,-0.054,-0.014,0.067,0.071,0.141,0.173,0.148,0.075,0.029
0.05,0.089,0.039,-0.07,0.005,0.064,0.043,0.166,0.209,0.186,0.12,0.034
-0.002,0.029,0.031,-0.014,-0.017,0.03,0.032,0.124,0.167,0.09,0.071,0.008
0.014,0.044,0.03,-0.029,-0.008,0.037,0.043,0.161,0.249,0.283,0.164,0.043
0.03,0.081,0.051,-0.056,-0.011,0.066,0.037,0.079,0.046,0.439,0.436,0.146
0.228,0.371,0.143,-0.299,0.042,0.256,-0.664,-1.173,-1.508,0.338,1.546,0.782
0.675,0.317,-0.359,-0.496,0.517,-0.021,-1.328,-1.882,-2.528,-0.607,1.582,1.205
0.651,0.118,-0.533,-0.384,0.591,-0.207,-1.26,-1.626,-2.417,-2.282,-0.378,0.664
0.116,0.03,-0.087,-0.073,0.101,-0.028,-0.77,-1.318,-1.717,-1.852,-0.911,0.096
-0.084,-0.21,-0.126,0.148,0.021,-0.168,-0.125,-0.332,-0.374,-0.422,-0.355,-0.132
-0.048,-0.108,-0.06,0.078,0.006,-0.084,0.057,0.086,0.1,-0.014,-0.141,-0.113
-0.056,-0.065,-0.009,0.06,-0.024,-0.037,0.058,0.052,0.118,0.096,-0.056,-0.089
-0.058,-0.107,-0.049,0.083,-0.004,-0.078,0.109,0.129,0.189,0.084,-0.089,-0.109
-0.069,-0.083,-0.014,0.076,-0.027,-0.048,0.108,0.095,0.166,0.096,-0.057,-0.099
-0.065,-0.107,-0.043,0.086,-0.011,-0.075,0.127,0.145,0.209,0.108,-0.078,-0.123
-0.089,-0.093,-0.005,0.091,-0.042,-0.049,0.12,0.14,0.217,0.132,-0.067,-0.115
-0.086,-0.081,0.004,0.083,-0.045,-0.038,0.124,0.175,0.256,0.143,-0.07,-0.126
-0.085,-0.041,0.043,0.063,-0.064,0.001,0.121,0.178,0.259,0.123,-0.073,-0.13
-0.102,-0.048,0.055,0.075,-0.078,0.004,0.131,0.188,0.287,0.128,-0.08,-0.139
-0.114,-0.059,0.055,0.086,-0.084,-0.002,0.142,0.2,0.289,0.112,-0.116,-0.157
-0.107,-0.052,0.055,0.079,-0.081,0.001,0.15,0.202,0.301,0.113,-0.13,-0.169
-0.105,-0.044,0.062,0.074,-0.083,0.009,0.215,0.266,0.367,0.144,-0.148,-0.183
-0.103,0.001,0.104,0.051,-0.103,0.052,0.273,0.317,0.422,0.161,-0.17,-0.176
-0.072,0.032,0.104,0.019,-0.088,0.068,0.252,0.382,0.5,0.169,-0.198,-0.194
-0.101,0.009,0.11,0.046,-0.105,0.059,0.239,0.406,0.527,0.178,-0.232,-0.242
-0.163,-0.035,0.128,0.098,-0.145,0.046,0.24,0.385,0.511,0.17,-0.252,-0.241
-0.171,-0.046,0.125,0.108,-0.147,0.039,0.248,0.388,0.519,0.203,-0.214,-0.211
-0.142,-0.026,0.116,0.084,-0.129,0.045,0.222,0.345,0.462,0.221,-0.152,-0.177
-0.094,0.01,0.104,0.041,-0.099,0.057,0.163,0.286,0.381,0.211,-0.097,-0.134
-0.053,0.03,0.083,0.011,-0.068,0.056,0.127,0.229,0.309,0.197,-0.038,-0.084
-0.042,0.019,0.06,0.011,-0.051,0.039,0.087,0.164,0.225,0.156,-0.002,-0.049
-0.021,0.037,0.057,-0.008,-0.039,0.047,0.063,0.122,0.173,0.133,0.011,-0.041
0.0,0.052,0.052,-0.026,-0.026,0.052,0.046,0.089,0.124,0.109,0.025,-0.03
0.0,0.038,0.037,-0.019,-0.019,0.037,0.033,0.071,0.089,0.082,0.034,-0.025
0.005,0.033,0.028,-0.019,-0.012,0.03,0.035,0.065,0.07,0.066,0.035,-0.023
0.008,0.025,0.017,-0.016,-0.005,0.021,0.035,0.056,0.051,0.051,0.036,-0.019
0.006,0.014,0.008,-0.01,-0.001,0.01,0.035,0.052,0.049,0.048,0.034,-0.017
0.007,0.008,0.001,-0.008,0.003,0.004,0.034,0.042,0.05,0.05,0.035,-0.014
-0.022,-0.033,-0.012,0.028,-0.005,-0.022,0.035,0.045,0.061,0.052,0.035,-0.015
0.006,-0.006,-0.012,0.0,0.009,-0.009,0.031,0.056,0.07,0.068,0.034,-0.015
0.024,0.015,-0.01,-0.019,0.017,0.003,0.025,0.053,0.069,0.085,0.038,-0.014
-0.039,-0.029,0.01,0.034,-0.024,-0.009,0.024,0.058,0.072,0.078,0.031,-0.017
-0.045,-0.004,0.041,0.024,-0.043,0.018,0.014,0.05,0.066,0.092,0.041,-0.013
-0.021,0.007,0.028,0.007,-0.025,0.017,0.021,0.063,0.077,0.084,0.031,-0.017
-0.009,0.036,0.045,-0.014,-0.027,0.04,0.052,0.078,0.09,0.103,0.066,0.001
-0.032,0.017,0.049,0.007,-0.04,0.032,0.109,0.111,0.13,0.109,0.064,0.007
0.0,0.053,0.053,-0.027,-0.027,0.053,0.063,0.106,0.13,0.119,0.073,0.022
0.017,0.05,0.032,-0.033,-0.008,0.041,0.014,0.114,0.142,0.137,0.076,0.029
-0.016,0.029,0.045,-0.007,-0.031,0.037,0.008,0.068,0.082,0.066,0.051,0.021
0.01,0.047,0.038,-0.029,-0.014,0.042,0.052,0.15,0.209,0.295,0.172,0.03
0.037,0.11,0.073,-0.073,-0.018,0.091,-0.01,-0.059,-0.131,0.45,0.523,0.179
0.273,0.406,0.133,-0.34,0.07,0.269,-0.792,-1.433,-1.805,0.26,1.665,0.884
0.755,0.324,-0.432,-0.539,0.593,-0.054,-1.393,-2.052,-2.722,-0.968,1.343,1.185
0.662,0.19,-0.472,-0.426,0.567,-0.141,-1.251,-1.745,-2.495,-2.462,-0.613,0.563
0.06,0.006,-0.054,-0.033,0.057,-0.024,-0.726,-1.292,-1.623,-1.718,-0.887,0.04
-0.069,-0.223,-0.154,0.146,0.043,-0.188,-0.09,-0.258,-0.284,-0.364,-0.333,-0.152
-0.029,-0.072,-0.043,0.051,0.007,-0.057,0.039,0.078,0.106,-0.011,-0.117,-0.111
-0.075,-0.085,-0.01,0.08,-0.032,-0.047,0.061,0.062,0.136,0.065,-0.069,-0.086
-0.059,-0.091,-0.032,0.075,-0.013,-0.061,0.094,0.137,0.199,0.067,-0.109,-0.097
-0.082,-0.081,0.001,0.082,-0.041,-0.04,0.067,0.103,0.172,0.094,-0.076,-0.097
-0.078,-0.1,-0.021,0.089,-0.028,-0.06,0.113,0.143,0.21,0.091,-0.1,-0.13
-0.083,-0.078,0.006,0.081,-0.044,-0.036,0.114,0.133,0.214,0.101,-0.085,-0.125
-0.083,-0.091,-0.008,0.087,-0.037,-0.049,0.121,0.164,0.251,0.114,-0.086,-0.128
-0.06,-0.052,0.008,0.055,-0.033,-0.022,0.124,0.161,0.254,0.11,-0.09,-0.125
-0.059,-0.05,0.009,0.054,-0.033,-0.021,0.141,0.189,0.297,0.12,-0.1,-0.147
-0.09,-0.049,0.041,0.069,-0.065,-0.004,0.167,0.227,0.329,0.145,-0.113,-0.157
-0.111,-0.053,0.058,0.082,-0.084,0.002,0.175,0.232,0.339,0.152,-0.135,-0.158
-0.12,-0.061,0.059,0.09,-0.089,-0.001,0.218,0.268,0.386,0.149,-0.17,-0.162
-0.119,-0.02,0.098,0.069,-0.108,0.039,0.31,0.32,0.436,0.149,-0.214,-0.202
-0.132,-0.02,0.112,0.076,-0.121,0.045,0.3,0.399,0.515,0.155,-0.24,-0.246
-0.161,-0.051,0.109,0.106,-0.135,0.029,0.261,0.437,0.558,0.175,-0.267,-0.236
-0.156,-0.048,0.108,0.102,-0.132,0.03,0.258,0.417,0.54,0.178,-0.285,-0.244
-0.146,-0.043,0.103,0.094,-0.125,0.03,0.244,0.396,0.531,0.183,-0.251,-0.226
-0.148,-0.041,0.107,0.094,-0.128,0.032,0.235,0.35,0.47,0.179,-0.191,-0.171
-0.107,-0.016,0.091,0.061,-0.099,0.037,0.193,0.28,0.382,0.167,-0.119,-0.131
-0.056,0.002,0.057,0.027,-0.056,0.029,0.143,0.214,0.311,0.159,-0.061,-0.077
-0.044,-0.012,0.032,0.028,-0.038,0.01,0.084,0.162,0.231,0.143,-0.02,-0.037
-0.009,0.007,0.016,0.001,-0.013,0.011,0.053,0.113,0.163,0.123,-0.004,-0.019
-0.008,0.004,0.012,0.002,-0.01,0.008,0.048,0.076,0.115,0.097,0.007,-0.012
-0.01,-0.002,0.007,0.006,-0.008,0.003,0.034,0.065,0.08,0.08,0.018,-0.005
0.008,0.01,0.003,-0.009,0.002,0.007,0.035,0.065,0.055,0.066,0.015,-0.002
-0.038,-0.039,-0.001,0.039,-0.018,-0.02,0.035,0.066,0.047,0.059,0.016,-0.034
-0.032,-0.047,-0.015,0.039,-0.008,-0.031,0.035,0.065,0.054,0.058,0.014,-0.036
-0.01,-0.037,-0.028,0.024,0.009,-0.032,0.034,0.065,0.052,0.061,0.016,-0.019
0.013,-0.028,-0.041,0.008,0.027,-0.034,0.036,0.064,0.062,0.061,0.015,-0.017
0.005,-0.033,-0.038,0.014,0.022,-0.036,0.039,0.061,0.08,0.053,0.015,-0.012
-0.019,-0.061,-0.042,0.04,0.011,-0.051,0.041,0.071,0.077,0.071,0.029,-0.011
0.009,-0.03,-0.039,0.01,0.025,-0.034,0.042,0.085,0.084,0.071,0.035,-0.008
-0.006,-0.046,-0.04,0.026,0.017,-0.042,0.046,0.107,0.122,0.083,0.046,-0.003
0.001,-0.039,-0.04,0.019,0.021,-0.04,0.044,0.115,0.129,0.079,0.025,-0.004
-0.014,-0.004,0.01,0.009,-0.012,0.003,0.066,0.107,0.129,0.123,0.063,0.014
-0.011,0.014,0.025,-0.002,-0.018,0.02,0.142,0.155,0.175,0.138,0.073,0.019
0.027,0.056,0.028,-0.042,-0.001,0.042,0.086,0.153,0.176,0.155,0.096,0.039
0.028,0.027,-0.002,-0.028,0.015,0.012,0.042,0.156,0.19,0.155,0.079,0.045
0.024,0.041,0.017,-0.032,0.003,0.029,0.038,0.088,0.118,0.11,0.075,0.051
0.021,0.001,-0.02,-0.011,0.021,-0.01,0.082,0.202,0.279,0.371,0.215,0.068
0.086,0.15,0.065,-0.118,0.01,0.107,-0.063,-0.138,-0.211,0.499,0.743,0.312
0.363,0.382,0.019,-0.373,0.172,0.2,-0.869,-1.474,-1.876,0.183,1.835,1.011
0.768,0.23,-0.538,-0.499,0.653,-0.154,-1.34,-1.901,-2.638,-1.363,0.94,1.097
0.495,0.109,-0.387,-0.302,0.441,-0.139,-1.097,-1.615,-2.355,-2.541,-0.93,0.388
-0.035,-0.119,-0.084,0.077,0.025,-0.102,-0.538,-1.033,-1.299,-1.35,-0.802,-0.075
-0.031,-0.21,-0.179,0.121,0.074,-0.194,-0.015,-0.106,-0.123,-0.205,-0.265,-0.144
-0.028,-0.073,-0.046,0.051,0.009,-0.059,0.05,0.075,0.086,0.03,-0.092,-0.086
-0.062,-0.103,-0.04,0.083,-0.011,-0.071,0.06,0.078,0.13,0.088,-0.074,-0.1
-0.051,-0.083,-0.032,0.068,-0.01,-0.057,0.074,0.099,0.163,0.08,-0.095,-0.105
-0.088,-0.092,-0.004,0.09,-0.042,-0.048,0.067,0.084,0.153,0.117,-0.06,-0.108
-0.097,-0.095,0.002,0.096,-0.049,-0.046,0.087,0.123,0.168,0.107,-0.08,-0.116
-0.087,-0.093,-0.006,0.09,-0.04,-0.049,0.087,0.123,0.186,0.133,-0.057,-0.1
-0.088,-0.097,-0.009,0.093,-0.039,-0.053,0.114,0.156,0.229,0.132,-0.087,-0.118
-0.1,-0.082,0.017,0.09,-0.058,-0.032,0.114,0.154,0.232,0.139,-0.09,-0.124
-0.096,-0.078,0.017,0.087,-0.056,-0.03,0.124,0.182,0.269,0.15,-0.088,-0.126
-0.105,-0.067,0.038,0.085,-0.071,-0.014,0.138,0.188,0.273,0.149,-0.113,-0.124
-0.089,-0.066,0.022,0.077,-0.055,-0.022,0.153,0.213,0.302,0.15,-0.14,-0.125
-0.086,-0.052,0.034,0.069,-0.06,-0.009,0.214,0.281,0.37,0.145,-0.158,-0.144
-0.115,-0.054,0.06,0.084,-0.087,0.003,0.292,0.322,0.409,0.144,-0.199,-0.17
-0.105,-0.011,0.094,0.058,-0.099,0.041,0.275,0.381,0.483,0.17,-0.235,-0.202
-0.123,-0.012,0.111,0.067,-0.117,0.049,0.231,0.411,0.531,0.179,-0.243,-0.203
-0.146,-0.054,0.092,0.1,-0.118,0.019,0.238,0.392,0.511,0.189,-0.239,-0.193
-0.103,-0.016,0.087,0.06,-0.095,0.035,0.231,0.371,0.501,0.231,-0.196,-0.173
-0.075,-0.003,0.072,0.039,-0.074,0.035,0.189,0.327,0.435,0.224,-0.138,-0.123
-0.047,0.011,0.058,0.018,-0.053,0.034,0.135,0.273,0.345,0.209,-0.079,-0.081
-0.044,0.003,0.046,0.02,-0.045,0.024,0.091,0.202,0.269,0.181,-0.018,-0.039
-0.066,-0.04,0.027,0.053,-0.046,-0.006,0.061,0.147,0.185,0.145,0.014,-0.014
-0.05,-0.034,0.016,0.042,-0.033,-0.009,0.046,0.114,0.129,0.129,0.015,-0.006
-0.036,-0.027,0.009,0.031,-0.022,-0.009,0.038,0.082,0.088,0.102,0.014,0.002
-0.027,-0.024,0.004,0.025,-0.015,-0.01,0.031,0.065,0.058,0.084,0.016,0.013
-0.019,-0.024,-0.005,0.022,-0.007,-0.014,0.024,0.049,0.05,0.064,0.015,0.038
-0.008,-0.018,-0.01,0.013,0.001,-0.013,0.015,0.042,0.047,0.05,0.016,0.041
-0.005,-0.023,-0.018,0.014,0.007,-0.02,0.012,0.046,0.045,0.048,0.018,0.032
-0.009,-0.054,-0.045,0.032,0.018,-0.049,0.017,0.048,0.041,0.051,0.02,0.031
0.004,-0.045,-0.05,0.021,0.027,-0.047,0.025,0.05,0.039,0.056,0.022,0.024
0.014,-0.027,-0.041,0.007,0.027,-0.034,0.022,0.061,0.051,0.056,0.023,0.021
0.008,-0.027,-0.035,0.01,0.022,-0.031,0.015,0.064,0.06,0.077,0.033,0.016
0.008,-0.021,-0.029,0.007,0.018,-0.025,0.015,0.067,0.061,0.075,0.029,0.019
0.001,-0.015,-0.016,0.007,0.008,-0.015,0.003,0.061,0.057,0.084,0.041,0.039
0.006,-0.009,-0.015,0.002,0.011,-0.012,0.012,0.069,0.063,0.076,0.031,0.033
0.039,0.041,0.002,-0.04,0.019,0.021,0.038,0.08,0.077,0.086,0.066,0.033
0.026,0.051,0.025,-0.039,0.0,0.038,0.097,0.106,0.12,0.1,0.064,0.029
0.017,0.062,0.045,-0.04,-0.015,0.053,0.078,0.108,0.121,0.1,0.06,0.037
0.05,0.053,0.003,-0.052,0.023,0.028,0.03,0.122,0.152,0.164,0.109,0.074
0.012,-0.007,-0.02,-0.002,0.016,-0.013,0.023,0.075,0.092,0.065,0.034,0.052
0.001,-0.011,-0.012,0.005,0.006,-0.011,0.04,0.126,0.181,0.253,0.164,0.076
0.053,0.079,0.026,-0.067,0.014,0.053,0.033,0.068,0.038,0.438,0.466,0.201
0.213,0.371,0.158,-0.292,0.027,0.264,-0.636,-1.148,-1.483,0.269,1.572,0.808
0.657,0.342,-0.315,-0.5,0.486,0.013,-1.295,-1.888,-2.527,-0.697,1.65,1.268
0.63,0.152,-0.478,-0.391,0.554,-0.163,-1.207,-1.623,-2.39,-2.304,-0.403,0.705
0.089,0.012,-0.077,-0.05,0.083,-0.033,-0.738,-1.275,-1.688,-1.889,-0.993,0.083
-0.027,-0.199,-0.173,0.113,0.073,-0.186,-0.121,-0.325,-0.377,-0.442,-0.368,-0.102
-0.029,-0.124,-0.095,0.076,0.033,-0.109,0.067,0.09,0.113,-0.014,-0.148,-0.091
-0.091,-0.1,-0.008,0.096,-0.041,-0.054,0.058,0.059,0.12,0.078,-0.074,-0.066
-0.061,-0.106,-0.046,0.083,-0.007,-0.076,0.1,0.134,0.187,0.072,-0.107,-0.081
-0.068,-0.081,-0.013,0.074,-0.027,-0.047,0.086,0.107,0.17,0.104,-0.067,-0.082
-0.052,-0.088,-0.036,0.071,-0.008,-0.062,0.112,0.149,0.206,0.114,-0.087,-0.114
-0.065,-0.077,-0.012,0.071,-0.027,-0.045,0.111,0.13,0.203,0.103,-0.078,-0.108
-0.075,-0.097,-0.022,0.086,-0.026,-0.059,0.137,0.172,0.256,0.134,-0.079,-0.11
-0.065,-0.076,-0.011,0.071,-0.027,-0.043,0.147,0.182,0.261,0.125,-0.083,-0.111
-0.072,-0.081,-0.009,0.077,-0.032,-0.045,0.143,0.185,0.283,0.121,-0.081,-0.109
-0.081,-0.084,-0.002,0.083,-0.039,-0.043,0.152,0.201,0.297,0.105,-0.131,-0.134
-0.089,-0.085,0.004,0.086,-0.046,-0.04,0.165,0.208,0.308,0.091,-0.159,-0.156
-0.086,-0.068,0.018,0.077,-0.052,-0.025,0.23,0.282,0.386,0.12,-0.175,-0.174
-0.113,-0.052,0.061,0.083,-0.087,0.004,0.314,0.32,0.421,0.133,-0.225,-0.193
-0.131,-0.056,0.076,0.093,-0.103,0.01,0.319,0.382,0.492,0.128,-0.265,-0.213
-0.131,-0.056,0.075,0.093,-0.102,0.009,0.275,0.434,0.558,0.132,-0.285,-0.232
-0.143,-0.068,0.075,0.105,-0.109,0.004,0.269,0.421,0.549,0.127,-0.306,-0.248
-0.131,-0.057,0.074,0.094,-0.103,0.008,0.277,0.408,0.541,0.149,-0.283,-0.234
-0.121,-0.045,0.076,0.082,-0.098,0.016,0.249,0.363,0.49,0.158,-0.212,-0.18
-0.099,-0.028,0.071,0.063,-0.085,0.021,0.191,0.308,0.408,0.146,-0.136,-0.134
-0.06,-0.008,0.053,0.034,-0.056,0.022,0.145,0.238,0.32,0.139,-0.075,-0.09
-0.025,0.008,0.032,0.008,-0.029,0.02,0.104,0.174,0.247,0.127,-0.034,-0.047
0.004,0.016,0.013,-0.01,-0.005,0.014,0.059,0.131,0.19,0.107,-0.014,-0.033
-0.002,-0.006,-0.004,0.004,0.001,-0.005,0.031,0.093,0.136,0.079,-0.004,-0.018
-0.005,-0.02,-0.015,0.013,0.005,-0.017,0.028,0.076,0.098,0.061,-0.007,-0.01
0.041,0.023,-0.018,-0.032,0.029,0.003,0.025,0.062,0.085,0.052,0.008,-0.009
0.034,0.023,-0.011,-0.028,0.022,0.006,0.02,0.05,0.085,0.044,0.028,-0.005
-0.013,-0.043,-0.03,0.028,0.009,-0.036,0.018,0.05,0.087,0.04,0.019,-0.003
0.025,-0.021,-0.046,-0.002,0.035,-0.033,0.014,0.05,0.08,0.04,0.016,0.001
0.026,-0.013,-0.039,-0.006,0.032,-0.026,0.031,0.049,0.082,0.04,0.013,-0.002
-0.005,-0.039,-0.034,0.022,0.015,-0.036,0.023,0.057,0.078,0.044,0.003,-0.013
0.0,-0.027,-0.027,0.014,0.014,-0.027,0.019,0.08,0.074,0.074,0.012,-0.021
-0.007,-0.031,-0.024,0.019,0.009,-0.027,0.054,0.098,0.109,0.081,0.015,-0.021
-0.002,-0.015,-0.014,0.009,0.006,-0.014,0.064,0.102,0.132,0.106,0.038,-0.003
-0.013,-0.015,-0.002,0.014,-0.005,-0.008,0.072,0.111,0.134,0.101,0.032,-0.003
